"date","time","DOY","SWin","SWout","LWin","LWout","Rr","Rn","RH","PPFD","PPFDr","P_rain","SHF","Ts","SWC","LE","co2_flux","h2o_flux","ET","(z-d)/L","T*","v_var","w/co2_cov","w/h2o_cov","w/ch4_cov","FCH4","Ta","Tc","datetime"
"2023-05-11","15:00",131.6249,695.4,135.2,398.9,507.4,0.194,451.6,35.8238,1340,160.8,0,4.547,266.5764,0.0574166666666667,"107.961","2.63490","2.45980","0.159395","-0.104409","-0.343706","1.33732","-0.435779E-02","2.03306","-0.415620E-04",-0.0021993,300.282,308.48,2023-05-11 15:00:00
"2023-05-11","15:30",131.6457,506.8,96.7,392.3,497.4,0.187,305.1,35.373,982,118.1,0,18.36,283.9744,0.277083333333333,"120.755","1.27681","2.75295","0.178391","-0.170200","-0.443938","1.95801","-0.652645E-02","2.25563","-0.430124E-04",0.00273432,300.194,306.58,2023-05-11 15:30:00
"2023-05-11","16:00",131.6665,319.4,60.97,395.8,477.3,0.19,177,35.6585,622.6,74.94,0,21.355,281.9796,0.273375,"100.195","1.41830","2.28336","0.147962","-0.991411E-01","-0.290778","2.16507","-0.422465E-02","1.91322","-0.332547E-04",-0.000903745,299.926,303.04,2023-05-11 16:00:00
"2023-05-11","16:30",131.6873,338.2,64.57,382.2,474.9,0.188,181,35.4072,632.8,76.32,0,17.695,281.4028,0.270875,"85.0577","2.31784","1.93732","0.125538","-0.602579E-01","-0.178902","1.14578","-0.149504E-02","1.65756","-0.236089E-04",-0.00274317,300.065,302.43,2023-05-11 16:30:00
"2023-05-11","17:00",131.7082,121.5,22.22,377.4,456.5,0.184,20.15,36.9236,244.3,29.03,0,15.015,281.1944,0.270291666666667,"63.2605","1.87880","1.44091","0.933711E-01","-0.605370E-01","-0.161396","0.638123","-0.127755E-02","1.20892","-0.195771E-04",-0.00231785,299.41,299.08,2023-05-11 17:00:00
"2023-05-11","17:30",131.729,86.3,16.93,383.5,449.3,0.197,3.616,38.6084,169.8,20.33,0,10.801,280.7332,0.27,"42.2562","2.37772","0.961677","0.623167E-01","-0.156872E-01","-0.324722E-01","0.460616","0.137250E-02","0.851960","-0.404317E-05",0.000909614,298.907,297.87,2023-05-11 17:30:00
"2023-05-11","18:00",131.7498,41.39,8.8,386.7,442,0.217,-22.72,41.7786,83.8,10,0,7.152,280.4788,0.269208333333333,"25.5816","0.890764","0.581868","0.377051E-01","-0.152031E-01","-0.161285E-01","0.335118","0.444452E-03","0.525530","-0.214879E-05",0.000138165,298.071,296.67,2023-05-11 18:00:00
"2023-05-11","18:30",131.7707,5.657,2.123,391.1,434.9,-9999,-40.3,45.2605,15.95,1.79,0,4.314,280.2424,0.269875,"23.4703","2.26493","0.533367","0.345622E-01","0.135614","0.660496E-01","0.695010E-01","0.230949E-02","0.494594","-0.794594E-06",-0.00271386,297.142,295.49,2023-05-11 18:30:00
"2023-05-11","19:00",131.7915,0,0.455,382.7,428.6,-9999,-48.99,49.6838,0.768,0.056,0,1.572,280.0392,0.268833333333333,"23.2073","3.14355","0.526900","0.341431E-01","0.301132","0.119809","0.898822E-01","0.327998E-02","0.480828","0.301549E-05",0.00105327,296.304,294.35,2023-05-11 19:00:00
"2023-05-11","19:30",131.8123,0,0.902,372.6,421.8,-9999,-53.05,55.2115,-0.009,-0.012,0,-0.918,279.8684,0.26875,"8.70830","1.07677","0.197548","0.128011E-01","0.219279","0.722949E-01","0.963311E-01","0.129450E-02","0.188948","-0.282258E-05",-0.00647384,295.041,293.14,2023-05-11 19:30:00
"2023-05-11","20:00",131.8332,0,1.268,373.9,419,-9999,-48.8,56.1449,-0.015,-0.013,0,-3.097,279.6872,0.269,"9.30988","3.59819","0.210938","0.136688E-01","1.40906","0.161006","0.274054E-01","0.323949E-02","0.179901","0.230584E-05",0.00246765,294.685,292.67,2023-05-11 20:00:00
"2023-05-11","20:30",131.854,0,1.209,375.7,417.8,-9999,-45.47,57.9142,-0.022,-0.022,0,-4.8275,279.5488,0.267291666666667,"6.74327","2.38787","0.152738","0.989741E-02","0.867061","0.129369","0.268663E-01","0.239650E-02","0.141040","0.260700E-05",0.00229487,294.504,292.45,2023-05-11 20:30:00
"2023-05-11","21:00",131.8748,0,0.873,373,416.4,-9999,-46.65,61.729,-0.025,-0.023,0,-5.9825,279.4688,0.2675,"21.6491","1.07159","0.490270","0.317695E-01","0.290981","0.124228","0.149738","0.155296E-02","0.450551","0.221911E-05",-0.000784592,294.333,292.18,2023-05-11 21:00:00
"2023-05-11","21:30",131.8956,0,0.998,372.6,415.9,-9999,-46.51,66.1617,-0.033,-0.017,0,-6.5285,279.398,0.267333333333333,"16.7847","2.19237","0.380034","0.246262E-01","0.161966","0.968285E-01","0.910426E-01","0.257572E-02","0.363863","0.310800E-05",0.000340659,294.223,292.08,2023-05-11 21:30:00
"2023-05-11","22:00",131.9165,0,0.376,371.9,414.4,-9999,-45.26,71.8171,-0.033,-0.02,0,-6.5755,279.3348,0.26725,"12.7824","1.88785","0.289399","0.187530E-01","0.901126E-01","0.812604E-01","0.276983","0.236636E-02","0.288126","0.383339E-05",0.000691397,293.684,291.86,2023-05-11 22:00:00
"2023-05-11","22:30",131.9373,0,0.682,363,410.9,-9999,-51.06,76.8559,-0.026,-0.022,0,-6.4035,279.262,0.266791666666667,"3.53870","3.05677","0.800775E-01","0.518902E-02","0.573404E-01","0.713065E-01","0.108555","0.353619E-02","0.105813","0.545854E-05",0.00194705,292.934,291.22,2023-05-11 22:30:00
"2023-05-11","23:00",131.9581,0,0.95,360,408.3,-9999,-51.65,80.6288,-0.028,-0.022,0,-6.534,279.1852,0.264666666666667,"-0.477419","2.79219","-0.107956E-01","-0.699556E-03","0.586738E-01","0.665114E-01","0.928221E-01","0.327758E-02","0.219176E-01","0.520851E-05",0.0018724,292.403,290.77,2023-05-11 23:00:00
"2023-05-11","23:30",131.979,0,1.773,373.9,411.2,-9999,-40.49,80.6113,-0.04,-0.019,0,-6.8625,279.0876,0.265083333333333,"-5.00060","2.76183","-0.113018","-0.732354E-02","0.915143E-01","0.738672E-01","0.115319","0.325939E-02","-0.724174E-01","0.619233E-05",0.00338771,293.002,291.35,2023-05-11 23:30:00
"2023-05-12","00:00",132,0,0.113,386,411.7,-9999,-27.65,83.0576,-0.038,-0.036,0,-6.4865,279.084,0.264333333333333,"-2.21777","2.39947","-0.501549E-01","-0.325004E-02","0.595768E-01","0.681151E-01","0.185531","0.294135E-02","-0.110416E-01","0.191478E-05",-0.00273532,292.633,291.67,2023-05-12
"2023-05-12","00:30",132.0208,0,0.66,391.9,411,-9999,-20.84,85.8666,-0.026,-0.025,0,-5.713,279.038,0.265,"9.23016","-2.66798","0.208677","0.135223E-01","-0.897080E-01","-0.406824E-01","0.120864","-0.294389E-02","0.182440","-0.704259E-05",-0.00591919,292.081,291.67,2023-05-12 00:30:00
"2023-05-12","01:00",132.0416,0,0.914,395.6,412,-9999,-18.05,86.0089,-0.039,-0.032,0,-5.23,278.9996,0.264,"0.765937","3.33849","0.173087E-01","0.112160E-02","0.691657","0.710094E-01","0.244595E-01","0.316680E-02","0.250516E-01","0.190198E-05",0.0020497,292.267,291.85,2023-05-12 01:00:00
"2023-05-12","01:30",132.0624,0,0.36,393.3,411.7,-9999,-19.85,86.9063,-0.035,-0.023,0,-4.6615,278.9816,0.265,"4.28968","0.874643","0.969556E-01","0.628272E-02","0.125258","0.284400E-01","0.647511E-01","0.920528E-03","0.948072E-01","0.669413E-05",0.00853043,292.22,291.76,2023-05-12 01:30:00
"2023-05-12","02:00",132.0833,0,0.916,387.4,410.6,-9999,-25.28,87.1438,-0.03,-0.023,0,-4.216,278.946,0.26525,"1.24634","1.19207","0.281682E-01","0.182530E-02","0.172642","0.330224E-01","0.751701E-01","0.124224E-02","0.322723E-01","0.106045E-04",0.0142565,292.192,291.49,2023-05-12 02:00:00
"2023-05-12","02:30",132.1041,0,0.406,380.7,408.9,-9999,-30.24,88.4264,-0.041,-0.018,0,-4.066,278.9092,0.265125,"1.90236","0.487704","0.429928E-01","0.278594E-02","0.781963E-01","0.303310E-01","0.104673","0.640234E-03","0.482306E-01","-0.800600E-05",-0.0119096,291.978,291.15,2023-05-12 02:30:00
"2023-05-12","03:00",132.1249,0,0.656,382.8,407.4,-9999,-26.59,90.2693,-0.036,-0.022,0,-4.1465,278.8708,0.265125,"1.90442","1.51490","0.430294E-01","0.278831E-02","0.370414E-01","0.167923E-01","0.766510E-01","0.152895E-02","0.451554E-01","-0.153248E-05",-0.00264772,291.535,290.93,2023-05-12 03:00:00
"2023-05-12","03:30",132.1458,0,0.537,391.7,408.6,-9999,-18.2,90.5877,-0.038,-0.023,0,-4.4035,278.8212,0.264375,"-1.27131","2.56334","-0.287123E-01","-0.186055E-02","0.152898","0.542456E-01","0.625635E-01","0.269747E-02","-0.105267E-01","0.206804E-05",0.000578791,291.514,291.24,2023-05-12 03:30:00
"2023-05-12","04:00",132.1666,0,0.569,387.9,407.7,-9999,-21.31,90.9188,0.127,-0.014,0,-4.232,278.7916,0.26525,"-0.558490","4.90397","-0.126140E-01","-0.817385E-03","0.267107","0.731732E-01","0.188568","0.482310E-02","0.669453E-02","0.319428E-05",0.00215693,291.442,291.05,2023-05-12 04:00:00
"2023-05-12","04:30",132.1874,1.407,0.974,390.9,408.1,-9999,-16.76,90.4181,4.544,0.431,0,-4.1495,278.7584,0.264583333333333,"-0.693066","2.68636","-0.156521E-01","-0.101426E-02","0.946289E-01","0.416233E-01","0.142870","0.280989E-02","-0.113530E-02","0.234514E-05",0.00119348,291.506,291.16,2023-05-12 04:30:00
"2023-05-12","05:00",132.2083,14.06,2.974,384.8,407.9,0.218,-12.01,90.7002,30.21,3.097,0,-3.972,278.7372,0.263458333333333,"0.678374","3.09536","0.153216E-01","0.992837E-03","0.160318","0.507408E-01","0.108256","0.311456E-02","0.270624E-01","0.318432E-05",0.0025715,291.447,291.06,2023-05-12 05:00:00
"2023-05-12","05:30",132.2291,44.57,8.23,384.2,409.5,0.189,11.03,90.3497,91.7,9.8,0,-3.63,278.7268,0.264708333333333,"2.79406","2.58519","0.631012E-01","0.408896E-02","0.614665E-01","0.307477E-01","0.193467","0.258635E-02","0.671044E-01","-0.194690E-05",-0.00394768,291.551,291.37,2023-05-12 05:30:00
"2023-05-12","06:00",132.2499,96.8,17.47,386.9,414.2,0.18,51.96,89.2748,198.9,22.32,0,-2.799,278.7572,0.265166666666667,"7.48656","2.14765","0.169094","0.109573E-01","0.168008E-01","0.174267E-01","0.190527","0.209767E-02","0.160709","0.189862E-05",0.00164598,291.86,292.3,2023-05-12 06:00:00
"2023-05-12","06:30",132.2707,84.9,14.32,397.9,417.4,0.168,51.08,86.429,176,19.58,0,-0.9485,278.8172,0.264541666666667,"20.8600","1.21948","0.471337","0.305426E-01","-0.252637E-01","-0.269455E-01","0.206214","0.638346E-03","0.416577","-0.513767E-05",-0.00289608,292.385,292.92,2023-05-12 06:30:00
"2023-05-12","07:00",132.2916,124.1,21.11,404.5,422.1,0.17,85.4,83.0054,254.3,28.57,0,0.842,278.8752,0.264,"17.2006","-1.53971","0.388858","0.251980E-01","-0.302076E-01","-0.443852E-01","0.357418","-0.215079E-02","0.327509","-0.458206E-05",-0.000655729,292.97,293.83,2023-05-12 07:00:00
"2023-05-12","07:30",132.3124,183,31.49,399.9,426.4,0.172,125,81.9897,377.5,43.3,0,2.834,278.9636,0.264208333333333,"28.3641","1.57457","0.641640","0.415783E-01","-0.251726E-01","-0.442271E-01","0.354773","0.586093E-03","0.552421","-0.484906E-05",9.75959e-05,293.214,294.62,2023-05-12 07:30:00
"2023-05-12","08:00",132.3332,222.3,38.57,408.3,429.8,0.173,162.2,82.1051,461.3,51.69,0,5.108,279.0592,0.263916666666667,"49.3404","5.67140","1.11643","0.723444E-01","-0.326179E-01","-0.754740E-01","0.450966","0.351817E-02","0.941797","-0.102569E-04",-0.00121505,293.472,295.27,2023-05-12 08:00:00
"2023-05-12","09:00",132.3749,229.8,38.87,414.6,437.9,0.169,167.6,80.4439,478.6,55.74,0,9.85,279.2716,0.26575,"55.5244","1.31029","1.25715","0.814633E-01","-0.524630E-01","-0.136898","0.611202","-0.153910E-02","1.01113","-0.121077E-04",0.00443627,293.88,296.96,2023-05-12 09:00:00
"2023-05-12","09:30",132.3957,178.5,28.29,411.7,436.2,0.158,125.7,80.2938,389.7,45.29,0,11.62,279.338,0.265375,"56.3045","2.26824","1.27503","0.826219E-01","-0.646346E-01","-0.159566","0.383070","-0.981735E-03","1.01747","-0.187019E-04",-0.00151005,294.006,296.55,2023-05-12 09:30:00
"2023-05-12","10:00",132.4165,213.9,33.67,412.9,435.7,0.157,157.5,82.767,477,52.72,0,11.795,279.3576,0.265833333333333,"37.6582","0.797275E-01","0.852824","0.552630E-01","-0.786457E-01","-0.129930","0.492008","-0.197423E-02","0.684468","-0.947692E-05",0.00267555,293.927,296.36,2023-05-12 10:00:00
"2023-05-12","11:00",132.4582,380.4,67.27,417.2,452.4,0.176,278,78.9395,768.5,90,0.1,14.13,279.5336,0.266208333333333,"72.5095","1.20280","1.64226","0.106419","-0.126888","-0.185190","0.340217","-0.203573E-02","1.37815","-0.173332E-04",-0.000494256,294.575,299.76,2023-05-12 11:00:00
"2023-05-12","11:30",132.479,330.4,57.81,420.2,455.1,0.174,237.7,75.4518,670.3,79,0,17.415,279.7868,0.264916666666667,"61.1915","2.26260","1.38694","0.898734E-01","-0.186942","-0.265236","0.433854","-0.167402E-02","1.10550","-0.170508E-04",0.00526292,295.231,300.13,2023-05-12 11:30:00
"2023-05-12","12:00",132.4999,262.6,44.49,422,455.6,0.168,184.6,71.7356,541,63.83,0,19.815,279.9172,0.265375,"64.3355","2.75888","1.45909","0.945489E-01","-0.109083","-0.235974","0.851458","-0.150219E-02","1.15743","-0.185996E-04",0.00552018,295.828,300.07,2023-05-12 12:00:00
"2023-05-12","12:30",132.5207,356.1,63.18,420.8,459.5,0.177,254.2,69.8177,732.8,86.8,0,20.325,279.9396,0.263875,"37.7269","0.722635","0.856017","0.554699E-01","-0.140530","-0.211198","0.741673","-0.223236E-02","0.652319","-0.174260E-04",-0.00100853,296.214,300.8,2023-05-12 12:30:00
"2023-05-12","13:00",132.5415,419.7,75.64,418.4,466.9,0.179,295.6,66.6218,850,100.7,0,21.085,280.0992,0.266291666666667,"53.3209","0.773574","1.21034","0.784298E-01","-0.944054E-01","-0.226825","0.464425","-0.319052E-02","0.921975","-0.249025E-04",-0.00304568,296.973,302.04,2023-05-12 13:00:00
"2023-05-12","13:30",132.5624,531.1,98.2,404.3,477.3,0.183,359.9,63.4495,1062,125,0,23.555,280.3308,0.264916666666667,"70.8809","0.349536","1.61019","0.104340","-0.107107","-0.277505","1.18006","-0.461310E-02","1.23718","-0.303546E-04",-0.00241187,297.606,303.73,2023-05-12 13:30:00
"2023-05-12","14:00",132.5832,680.4,130.9,409.8,491.8,0.187,467.5,59.3027,1322,156.2,0,27.86,280.6308,0.265041666666667,"63.3827","0.448864","1.44092","0.933714E-01","-0.159105","-0.314077","0.856624","-0.439080E-02","1.10051","-0.308130E-04",-0.00381405,298.382,306.3,2023-05-12 14:00:00
"2023-05-12","14:30",132.604,509.4,93.6,400.9,488.7,0.175,328,59.1587,993,116.9,0,33.015,281.0764,0.264208333333333,"96.5173","0.469319","2.19600","0.142301","-0.208371","-0.417438","1.41015","-0.604997E-02","1.70146","-0.355128E-04",0.00238675,298.393,305.53,2023-05-12 14:30:00
"2023-05-12","15:00",132.6249,526,100.9,417.4,485.2,0.188,357.2,58.6177,1015,120.6,0,35.22,281.0188,0.26475,"62.0132","0.178397","1.41092","0.914279E-01","-0.147293","-0.337996","1.22427","-0.528826E-02","1.03801","-0.373853E-04",-0.00729784,298.644,305.1,2023-05-12 15:00:00
"2023-05-12","15:30",132.6457,290.3,52.99,415.7,474.5,0.181,178.5,55.84,573.3,68.22,0,33.89,281.1968,0.264625,"64.0380","0.341290","1.45721","0.944272E-01","-0.110994","-0.335939","1.61386","-0.577843E-02","1.04538","-0.385136E-04",-0.00411465,298.809,302.94,2023-05-12 15:30:00
"2023-05-12","16:00",132.6665,238,43.72,417.2,468.3,0.183,143.1,57.5603,471.3,56.18,0,30.67,280.9576,0.264083333333333,"61.0671","0.725558","1.38961","0.900466E-01","-0.877556E-01","-0.236521","0.827779","-0.353984E-02","1.06260","-0.181151E-04",0.00759427,298.646,301.81,2023-05-12 16:00:00
"2023-05-12","16:30",132.6873,306.3,57.65,399.8,468,0.181,180.5,58.4374,573,67.91,0,26.705,280.8476,0.264291666666667,"53.8442","2.29809","1.22494","0.793760E-01","-0.568604E-01","-0.141355","0.810026","-0.502976E-03","0.995768","-0.124353E-04",0.00308655,298.815,301.59,2023-05-12 16:30:00
"2023-05-12","17:00",132.7082,142.2,26.01,402.9,456.7,0.18,62.39,59.4852,278,32.72,0,24.21,280.944,0.264083333333333,"62.3258","2.45504","1.41810","0.918931E-01","-0.575498E-01","-0.157928","0.644608","-0.804038E-03","1.14414","-0.159186E-04",0.00185918,298.602,299.47,2023-05-12 17:00:00
"2023-05-12","17:30",132.729,174.8,33.05,395.6,456.1,0.188,81.2,57.268,303,35.71,0,20.655,280.8028,0.264916666666667,"28.0929","2.37940","0.638953","0.414041E-01","-0.308868E-01","-0.572731E-01","0.578410","0.119410E-02","0.545483","-0.455005E-05",0.00143058,298.943,299.29,2023-05-12 17:30:00
"2023-05-12","18:00",132.7498,30.01,5.136,411.2,448,0.156,-11.89,61.8611,65.67,7.527,0,17.95,280.8296,0.264916666666667,"28.6177","1.81756","0.651074","0.421896E-01","-0.307293E-01","-0.422826E-01","0.805769","0.955113E-03","0.568775","0.856481E-05",0.0156506,298.391,297.9,2023-05-12 18:00:00
"2023-05-12","18:30",132.7707,2.095,0.564,420.8,442.7,-9999,-20.15,67.9153,7.417,0.788,0,14.725,280.5672,0.2635,"18.5693","3.12670","0.422198","0.273585E-01","0.368136E-01","0.241892E-01","0.126726","0.291313E-02","0.390874","0.115979E-04",0.0149183,297.562,297.06,2023-05-12 18:30:00
"2023-05-12","19:00",132.7915,0,0.08,412.4,436.6,-9999,-25.43,72.0231,0.863,0.07,0,11.425,280.4244,0.262916666666667,"13.8998","3.20553","0.315782","0.204627E-01","0.434904E-01","0.425247E-01","0.202288","0.319447E-02","0.301499","0.169367E-04",0.0203617,296.637,296.04,2023-05-12 19:00:00
"2023-05-12","19:30",132.8123,0,0.378,405.5,433.2,-9999,-29.75,74.1993,-0.042,-0.023,0.23,8.7045,280.3064,0.263583333333333,"4.99684","1.96555","0.113416","0.734936E-02","0.332190E-01","0.183583E-01","0.274747","0.194124E-02","0.111359","0.197916E-04",0.0249195,296.22,295.38,2023-05-12 19:30:00
"2023-05-12","20:00",132.8332,0,0.557,386.2,426.9,7999,-43.68,77.9765,-0.035,-0.018,0,6.5585,280.2,0.264708333333333,"4.04486","1.98267","0.917691E-01","0.594664E-02","0.855802E-01","0.309070E-01","0.552170E-01","0.198848E-02","0.928511E-01","0.448221E-04",0.0594617,295.522,294.13,2023-05-12 20:00:00
"2023-05-12","20:30",132.854,0,0.296,400.3,425,-9999,-26.67,82.9925,-0.031,-0.014,0,4.379,280.0916,0.26425,"-1.57066","3.31832","-0.356064E-01","-0.230730E-02","0.191805","0.684243E-01","0.963130E-01","0.345570E-02","-0.101448E-01","0.237282E-04",0.0318596,294.478,294.07,2023-05-12 20:30:00
"2023-05-12","21:00",132.8748,0,1.356,395.1,423.6,-9999,-31.06,84.5702,-0.031,-0.023,0,2.711,280.0084,0.265125,"2.07332","-4.87223","0.469602E-01","0.304302E-02","-0.100232","-0.451459E-01","0.213510","-0.503613E-02","0.277568E-01","0.378136E-04",0.0479247,294.462,293.69,2023-05-12 21:00:00
"2023-05-12","21:30",132.8956,0,1.65,403.2,423.3,-9999,-23.63,85.3256,-0.041,-0.02,0.18,1.6505,279.9348,0.26425,"37.3965","12.1587","0.846979","0.548842E-01","0.304252","0.809791E-01","0.481173","0.112741E-01","0.783163","0.329654E-04",0.0490439,294.437,293.7,2023-05-12 21:30:00
"2023-05-12","22:00",132.9165,0,0.334,406,423.6,7999,-19.04,87.1536,-0.049,-0.027,0,1.0815,279.892,0.264416666666667,"3.82463","7.80328","0.866129E-01","0.561252E-02","0.717709E-01","0.496128E-01","0.166936","0.753285E-02","0.986166E-01","0.354643E-05",0.00215866,294.221,293.84,2023-05-12 22:00:00
"2023-05-12","22:30",132.9373,0,0,389.1,418.9,-9999,-31.67,89.8413,-0.032,-0.021,0,0.8415,279.8532,0.263166666666667,"2.47204","2.59444","0.559795E-01","0.362747E-02","0.296468E-01","0.320763E-01","0.169200","0.266748E-02","0.673989E-01","0.108239E-04",0.0119732,293.454,292.9,2023-05-12 22:30:00
"2023-05-12","23:00",132.9581,0,0.698,369.7,413.8,-9999,-47.19,92.1945,-0.022,-0.021,0,0.0495,279.7572,0.263625,"-1.21560","1.96089","-0.275052E-01","-0.178234E-02","0.404979E-01","0.313758E-01","0.101620","0.210804E-02","-0.999551E-02","0.343886E-05",0.00248428,292.789,291.85,2023-05-12 23:00:00
"2023-05-12","23:30",132.979,0,0.519,389.5,413.6,-9999,-26.05,94.1346,-0.031,-0.028,0,-1.293,279.6656,0.263625,"-8.51943","2.86885","-0.192627","-0.124822E-01","0.568497E-01","0.420895E-01","0.720709E-01","0.312634E-02","-0.155406","0.210739E-05",-0.000311551,292.253,292.08,2023-05-12 23:30:00
"2023-05-13","00:00",133,0,0.594,394.5,414.2,-9999,-21.2,94.7447,-0.041,-0.025,0,-2.1915,279.602,0.262458333333333,"-2.20130","2.16301","-0.497508E-01","-0.322385E-02","0.465493E-01","0.165108E-01","0.104084","0.215289E-02","-0.404041E-01","0.107638E-05",0.00057911,292.23,292.22,2023-05-13
"2023-05-13","00:30",133.0208,0,0.455,393.8,413.9,-9999,-21.52,94.9258,-0.041,-0.025,0,-2.409,279.5656,0.264083333333333,"-4.05839","3.21810","-0.917248E-01","-0.594377E-02","0.330140E-01","0.148247E-01","0.927724E-01","0.316288E-02","-0.788747E-01","0.232896E-05",0.00205817,292.161,292.18,2023-05-13 00:30:00
"2023-05-13","01:00",133.0416,0,0.891,381.8,411.9,-9999,-32.19,95.3597,-0.048,-0.022,0,-2.4785,279.512,0.26375,"-4.64069","3.21802","-0.104881","-0.679631E-02","0.110755","0.244935E-01","0.561525E-01","0.317453E-02","-0.897341E-01","0.419367E-05",0.00470261,292.105,291.72,2023-05-13 01:00:00
"2023-05-13","01:30",133.0624,0,0.618,365.9,408.9,-9999,-45.79,95.0011,-0.047,-0.017,0,-2.8505,279.476,0.263375,"-2.53037","1.68830","-0.571803E-01","-0.370528E-02","0.608226E-01","0.191978E-01","0.542475E-01","0.170721E-02","-0.462903E-01","0.280431E-04",0.0362766,292.036,291.15,2023-05-13 01:30:00
"2023-05-13","02:00",133.0833,0,0.648,374.2,407.5,-9999,-35.36,96.2393,-0.044,-0.011,0,-3.623,279.3864,0.264333333333333,"5.12578","-1.99401","0.115807","0.750430E-02","-0.375214E-01","-0.845041E-02","0.659812E-01","-0.199043E-02","0.105623","0.176029E-04",0.0218688,291.464,290.94,2023-05-13 02:00:00
"2023-05-13","02:30",133.1041,0,0.761,370.3,406.9,-9999,-38.93,96.2071,-0.042,-0.019,0,-4.507,279.3264,0.263958333333333,"-9.16324","2.44025","-0.206925","-0.134088E-01","0.272300","0.425759E-01","0.415756E-01","0.249563E-02","-0.175911","0.249625E-05",0.00215367,291.571,290.84,2023-05-13 02:30:00
"2023-05-13","03:00",133.1249,0,0.541,395.9,409.4,-9999,-14.6,96.9794,-0.048,-0.02,0,-5.046,279.2656,0.263583333333333,"-1.85118","2.61504","-0.418074E-01","-0.270912E-02","0.136949","0.325227E-01","0.669218E-01","0.266706E-02","-0.303638E-01","0.271992E-05",0.00258431,291.473,291.43,2023-05-13 03:00:00
"2023-05-13","04:00",133.1666,0,0.753,412.4,415.5,-9999,-4.015,95.9825,0.142,-0.01,0,-3.541,279.2872,0.263333333333333,"-2.93409","3.06708","-0.663116E-01","-0.429699E-02","0.395940E-01","0.144287E-01","0.800772E-01","0.300249E-02","-0.562187E-01","0.177335E-05",0.00151477,292.428,292.59,2023-05-13 04:00:00
"2023-05-13","04:30",133.1874,4.285,0.936,415.3,416.6,-9999,2.096,96.411,8.18,0.736,0,-2.2285,279.2972,0.263125,"-2.13065","1.66868","-0.481700E-01","-0.312141E-02","0.628394E-01","0.218432E-01","0.837884E-01","0.171803E-02","-0.369473E-01","0.413259E-04",0.0538734,292.529,292.83,2023-05-13 04:30:00
"2023-05-13","05:00",133.2083,17.12,2.755,416.9,418.5,0.161,12.76,97.5304,33.18,3.115,0,-1.0825,279.2992,0.264208333333333,"-1.96518","2.64943","-0.444358E-01","-0.287944E-02","0.111246","0.142747E-01","0.442038E-01","0.257903E-02","-0.381918E-01","-0.260771E-06",-0.000856089,292.669,293.15,2023-05-13 05:00:00
"2023-05-13","06:00",133.2499,87.2,14.2,417.2,424.7,0.163,65.49,96.5901,173.2,17.44,0,1.9945,279.3816,0.262333333333333,"5.21967","2.48928","0.118068","0.765078E-02","-0.125112","-0.321365E-01","0.773706E-01","0.215433E-02","0.101137","0.370511E-05",0.00595209,292.995,294.18,2023-05-13 06:00:00
"2023-05-13","06:30",133.2707,136.9,22.36,415.4,429,0.163,101,93.7459,275.1,28.63,0,3.911,279.4576,0.262958333333333,"15.3172","2.13179","0.346553","0.224567E-01","-0.806375E-01","-0.604909E-01","0.180975","0.130748E-02","0.290510","0.164015E-04",0.024543,293.373,295.13,2023-05-13 06:30:00
"2023-05-13","07:00",133.2916,191.6,31.27,416,435.9,0.163,140.3,91.2418,387.5,41.69,0,6.1635,279.5744,0.262541666666667,"22.9234","1.06524","0.518856","0.336219E-01","-0.196192","-0.901344E-01","0.139970","0.145220E-03","0.447856","-0.487128E-05",-0.000137364,293.716,296.57,2023-05-13 07:00:00
"2023-05-13","07:30",133.3124,151.4,23.75,420.8,438.6,0.156,109.8,88.3331,312.1,33.75,0,9.64,279.7236,0.260625,"34.5198","1.58635","0.781705","0.506545E-01","-3.16837","-0.303045","0.148063","0.192477E-03","0.678849","0.435303E-05",0.0140418,294.182,297.04,2023-05-13 07:30:00
"2023-05-13","08:00",133.3332,170.9,26.74,422.1,440.6,0.156,125.7,87.3387,352.9,38.68,0,12.32,279.8232,0.256916666666667,"35.7060","2.62907","0.808988","0.524224E-01","-0.217253","-0.115586","0.459719","0.130278E-02","0.718294","-0.201011E-05",0.00568506,294.445,297.41,2023-05-13 08:00:00
"2023-05-13","08:30",133.3541,236.5,37.95,422.8,447.9,0.16,173.4,84.8624,486.8,54.21,0,14.21,279.9568,0.259083333333333,"32.1090","1.26046","0.727664","0.471527E-01","-0.136055","-0.117350","0.232599","-0.257379E-03","0.625739","-0.107021E-04",-0.00345908,294.853,298.79,2023-05-13 08:30:00
"2023-05-13","09:00",133.3749,218.2,34.44,423.8,450.2,0.156,157.3,82.6665,459,51.55,0,17.185,280.1444,0.260666666666667,"35.8597","1.30905","0.813132","0.526909E-01","-0.324108","-0.168943","0.232894","-0.379680E-03","0.700762","-0.119630E-04",-0.00391465,295.153,299.07,2023-05-13 09:00:00
"2023-05-13","09:30",133.3957,366.6,62.64,419.8,462.3,0.171,261.4,80.2763,747.9,86.2,0,19.99,280.2808,0.262916666666667,"31.2703","0.589150","0.709305","0.459629E-01","-0.408921","-0.156128","0.137819","-0.754143E-03","0.617451","-0.110774E-04",-0.00492595,295.718,301.26,2023-05-13 09:30:00
